Voucher Type,ID,state_name,Zone,Branch_name,Route,PartyName,CategoryName,PaymentType,CreatedDate,VoucherDate,VoucherNo,Bill Type,Salesman,Taxable,CGST,SGST,IGST,VoucherAMT,Discount,Realisable amount,RecieveAMT,Differance,RMODE,GroupName,ItemCOde,TaxPerc,qty,Freeqty ,TotalAmt,FreeAmount,Rate,DiscAmount,Helper 1,KL MT OUTLETS,TN MT OUTLETS,Category,NEW SKU,Division,Customer name,District for milk,District for Dashboard,ZONE FOR MT ,GROUPING FOR ITEM,Column1
Sales,7428331,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KATTAKADA,101REVATHY STORE,MILK KL,CASH PAYMENT,14-11-2023,01-08-2025,NSKD19518/25,B2C,BINEESH,188.6,4.72,4.72,0,198,0,198,198,0,Cash,001 FG CURD,PC475,5,4,0,112.4,0,28.1,0,101REVATHY STORE001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7427422,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PARASSALA,101RN STORE,MILK KL,CASH PAYMENT,14-11-2023,01-08-2025,NSPS9533/25,B2C,BENZRAJ,278,0,0,0,278,0,278,278,0,Cash,000FG MILK,SM 900,0,5,0,278,0,55.6,0,101RN STORE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7421198,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KOVALAM,101S A STORE ( ROSE HOUSE),MILK KL,CASH PAYMENT,22-01-2024,01-08-2025,NSKV5674/25,B2C,AMALDASJ,51.6,0,0,0,52,0,52,52,0,,000FG MILK,CM 475,0,2,0,51.6,0,25.8,0,101S A STORE ( ROSE HOUSE)000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7429516,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,BALARAMAPURAM,101S V STORE,MILK KL,CASH PAYMENT,04-07-2023,01-08-2025,NSBM32973/25,B2C,MANU  M,281,7.03,7.03,0,295,0,295,295,0,Cash,001 FG CURD,PC475,5,10,0,281,0,28.1,0,101S V STORE001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7419290,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KOVALAM,101SABITHA( LUZI KADAL ),MILK KL,CASH PAYMENT,22-01-2024,01-08-2025,NSKV5663/25,B2C,AMALDASJ,129,0,0,0,129,0,129,0,129,,000FG MILK,CM 475,0,5,0,129,0,25.8,0,101SABITHA( LUZI KADAL )000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7428332,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,KATTAKADA,101SIVANKUTTY,MILK KL,CASH PAYMENT,24-10-2023,01-08-2025,NSKD19519/25,B2C,BINEESH,164.3,4.11,4.11,0,173,0,173,173,0,Cash,001 FG CURD,TC 400,5,5,0,164.3,0,32.86,0,101SIVANKUTTY001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7422323,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101SWATHY STORE,MILK KL,CASH PAYMENT,27-02-2024,01-08-2025,NSPD9212/25,B2C,SATHEESH R,154.8,0,0,0,155,0,155,155,0,Cash,000FG MILK,CM 475,0,6,0,154.8,0,25.8,0,101SWATHY STORE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422413,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101SWATHY STORE,MILK KL,CASH PAYMENT,27-02-2024,01-08-2025,NSPD9277/25,B2C,SATHEESH R,154.8,0,0,0,155,0,155,155,0,Cash,000FG MILK,CM 475,0,6,0,154.8,0,25.8,0,101SWATHY STORE000FG MILK,,,,YES,Not in Master,,,,,,
Sales,7422321,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101THIRUVONAM STORE,MILK KL,CASH PAYMENT,03-10-2024,01-08-2025,NSPD9210/25,B2C,SATHEESH R,45.72,1.14,1.14,0,48,0,48,48,0,Cash,001 FG CURD,PC140,5,6,0,45.72,0,7.62,0,101THIRUVONAM STORE001 FG CURD,,,,YES,Not in Master,,,,,,
Sales,7422317,Kerala,TRIVANDRUM ZONE,ELANADU MILK NEYYATTINKARA,PALIYODE,101V R VEG AMARAVILA,MILK KL,CASH PAYMENT,06-12-2024,01-08-2025,NSPD9206/25,B2C,SATHEESH R,178.74,0,0,0,179,0,179,179,0,Cash,000FG MILK,BM 1000 ML,0,3,0,178.74,0,59.58,0,101V R VEG AMARAVILA000FG MILK,,,,YES,Not in Master,,,,,,
